Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Angele N,Bulk Carrier,31532,55804,2010,190,In Service,Nomikos Transworld,Nomikos Transworld,Nomikos Transworld,Hong Kong,,IFO 380,Diesel 2-Stroke,,,1470,10470,IFO 380,,,,,,N,6RT-flex50-D,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,Greece,3285,Bulkers,30
Ocean Century,Bulk Carrier,31532,55848,2011,190,In Service,FML Ship Mgmt.,Fleet Management,FML Ship Mgmt.,Malta,,IFO 180,Diesel 2-Stroke,,,1410,8890,IFO 380,,,,,,N,6RT-flex50-D,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Hong Kong,3297,Bulkers,
Sety,Bulk Carrier,31532,55753,2010,190,In Service,Byzantine Maritime,Byzantine Maritime,Byzantine Maritime,Liberia,,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Greece,3262,Bulkers,
Arietta,Bulk Carrier,31532,55818,2009,190,In Service,Byzantine Maritime,Byzantine Maritime,Byzantine Maritime,Liberia,,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Greece,3275,Bulkers,
Vienna Wood N,Bulk Carrier,31532,55768,2011,190,In Service,Nomikos Transworld,Nomikos Transworld,K-Line Bulk Shpg.,Hong Kong,,IFO 380,Diesel 2-Stroke,,,1470,10470,IFO 380,,,,,,N,6RT-flex50-D,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,Greece,3327,Bulkers,30
Golden Eagle,Bulk Carrier,31532,55989,2010,190,In Service,Eagle Bulk Shipping,Eagle Bulk Shipping,Eagle Bulk Shipping,Marshall Is.,Fitted,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,33.5,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,United States,3259,Bulkers,32
Yvonne,Bulk Carrier,31532,56557,2008,190,In Service,Byzantine Maritime,Byzantine Maritime,Byzantine Maritime,Liberia,,IFO 380,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,36.5,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,13.9,12.74,32.26,CSSC,Japan,Greece,3242,Bulkers,
Ermione,Bulk Carrier,31532,56557,2008,190,In Service,Byzantine Maritime,Byzantine Maritime,Byzantine Maritime,Liberia,,IFO 380,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,36.5,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,13.9,12.74,32.26,CSSC,Japan,Greece,3243,Bulkers,
Bulk Independence,Bulk Carrier,31532,56548,2008,190,In Service,Phoenix Bulk,Pangaea Logistics,Phoenix Bulk,Panama,,IFO 380,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.5,12.74,32.26,CSSC,Japan,United States,3238,Bulkers,33.2
TN Dawn,Bulk Carrier,31532,56678,2008,190,In Service,Nomikos Transworld,Nomikos Transworld,Nomikos Transworld,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,Greece,3235,Bulkers,30
Key Ohana,Bulk Carrier,31532,55705,2010,190,In Service,Nomikos Transworld,Nomikos Transworld,Nomikos Transworld,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Greece,3265,Bulkers,
Dory,Bulk Carrier,31532,55878,2010,190,In Service,Nomikos Transworld,Nomikos Transworld,Nomikos Transworld,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Greece,3266,Bulkers,
Ocean Freedom,Bulk Carrier,31532,55771,2010,190,In Service,Transoba Denizcilik,Transoba Denizcilik,Transoba Denizcilik,Liberia,,IFO 180,Diesel 2-Stroke,,,,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Turkey,3268,Bulkers,
TTM Phoenix,Bulk Carrier,31532,55947,2010,190,In Service,Ta-Tong Marine Co.,Ta-Tong Marine Co.,Ta-Tong Marine Co.,Panama,,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Taiwan,3264,Bulkers,
Crested Eagle,Bulk Carrier,31532,55989,2009,190,In Service,Eagle Bulk Shipping,Eagle Bulk Shipping,Eagle Bulk Shipping,Marshall Is.,Fitted,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,33.2,N,6RT-flex50-D,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,United States,3274,Bulkers,32
Marianna,Bulk Carrier,31532,55753,2010,190,In Service,Byzantine Maritime,Byzantine Maritime,Byzantine Maritime,Liberia,,IFO 180,Diesel 2-Stroke,,,1470,8890,IFO 380,,,,,,N,6RT-flex50-B,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14.8,12.74,32.26,CSSC,Japan,Greece,3261,Bulkers,
Angelina The Great N,Bulk Carrier,31532,55804,2012,190,In Service,Nomikos Transworld,Nomikos Transworld,Nomikos Transworld,Hong Kong,,IFO 380,Diesel 2-Stroke,,,1830,8890,IFO 380,,,,,,N,6RT-flex50-D,flex50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Wartsila 2-stroke,14,12.74,32.26,CSSC,Japan,Greece,3328,Bulkers,30
Anni Selmer,Bulk Carrier,31522,55639,2009,189.99,In Service,Oskar Wehr,Oskar Wehr,Oskar Wehr,Cyprus,,IFO 180,Diesel 2-Stroke,,,2400,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,13,12.55,32.26,MAN Energy Solutions,Japan,Germany,1633,Bulkers,29.3
Loch Crinan,Bulk Carrier,31508,56108,2013,189.99,In Service,K-Line,K-Line,K-Line,Panama,,IFO 380,Diesel 2-Stroke,,,2400,7135,IFO 380,,,,,,N,6S60MC-C7.2,S60,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.57,32.26,MAN Energy Solutions,Japan,Japan,10644,Bulkers,
Amstel Falcon,Bulk Carrier,31508,56108,2013,189.99,In Service,Emarat Maritime,Emarat Maritime,Emarat Maritime,Panama,,IFO 380,Diesel 2-Stroke,,,2400,7135,IFO 380,,,,,,N,6S50MC-C7.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.3,12.53,32.26,MAN Energy Solutions,Japan,U.A.E.,10544,Bulkers,25.1
Thor Fortune,Open Hatch Carrier,31487,54250,2011,189.99,In Service,Thoresen Shpg Sing,Thoresen Thai Agen,Thoresen Shpg Sing,Singapore,,IFO 380,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.6,12.44,32.26,MAN Energy Solutions,Japan,Thailand,10608,Bulkers,
Thor Friendship,Open Hatch Carrier,31487,54123,2010,189.99,In Service,Thoresen Shpg Sing,Thoresen Thai Agen,Oldendorff Carriers,Singapore,,IFO 380,Diesel 2-Stroke,,,2400,8208,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.44,32.26,MAN Energy Solutions,Japan,Thailand,10607,Bulkers,31
Sparna,Open Hatch Carrier,31385,54881,2006,189.99,In Service,Santoku Shipping,Santoku Shipping,,Panama,,IFO 380,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.52,32.26,MAN Energy Solutions,Japan,Japan,10401,Bulkers,
Lumoso Karunia IX,Bulk Carrier,31326,55688,2009,189.99,In Service,Lumoso Pratama,Tanto Intim Line,Lumoso Pratama,Indonesia,,IFO 180,Diesel 2-Stroke,,,1650,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Indonesia,1689,Bulkers,31
Atalanti SB,Bulk Carrier,31293,56019,2006,189.99,In Service,Nomikos A.E.,Nomikos A.E.,Nomikos A.E.,Cyprus,,IFO 180,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1634,Bulkers,31
Sea Pearl,Bulk Carrier,31284,55525,2009,189.99,In Service,Montana Shpmngnt,Montana Shpmngnt,Montana Shpmngnt,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1730,Bulkers,31
Darya Lakshmi,Bulk Carrier,31284,55469,2009,189.99,In Service,Chellaram Shpg.,Chellaram Shpg.,Chellaram Shpg.,Hong Kong,,IFO 180,Diesel 2-Stroke,,,,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Hong Kong,1754,Bulkers,31
Yasa Emirhan,Bulk Carrier,31282,55545,2008,189.99,In Service,Yasa Shipping,Yasa Shipping,Yasa Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1650,9473,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1718,Bulkers,31
Antoine,Bulk Carrier,31280,55498,2009,189.99,In Service,Kassian Maritime,Kassian Maritime,Kassian Maritime,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2400,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1735,Bulkers,31
Strange Attractor,Bulk Carrier,31279,55742,2006,189.99,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Marshall Is.,Fitted,IFO 180,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1609,Bulkers,31
Silver Star,Bulk Carrier,31279,55725,2006,189.99,In Service,Unknown Vietnamese,Unknown Vietnamese,Unknown Vietnamese,Vietnam,,IFO 180,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Vietnam,1610,Bulkers,31
Ocean Ace,Bulk Carrier,31279,55697,2005,189.99,In Service,Ocean 21 Holdings,Indofood,Ocean 21 Holdings,Singapore,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Indonesia,1588,Bulkers,31
Olympic Pride,Bulk Carrier,31279,55705,2006,189.99,In Service,Olympic Shpg & Mgmt,Olympic Shpg & Mgmt,Olympic Shpg & Mgmt,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1605,Bulkers,31
PVT Sapphire,Bulk Carrier,31275,56024,2006,189.99,In Service,PV TRANS,PetroVietnam,PV TRANS,Vietnam,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Vietnam,1608,Bulkers,31
Swan River,Bulk Carrier,31275,56025,2005,189.99,In Service,Pacific Basin Shpg,Pacific Basin Shpg,Pacific Basin Shpg,Hong Kong,Fitted,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.55,32.26,MAN Energy Solutions,Japan,Hong Kong,1607,Bulkers,31
RHL Julia,Bulk Carrier,31271,55701,2009,189.99,In Service,Hamburger Lloyd,Hamburger Lloyd,Hamburger Lloyd,Liberia,,IFO 180,Diesel 2-Stroke,,,1830,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.57,32.26,MAN Energy Solutions,Japan,Germany,1736,Bulkers,31
Maroudio,Bulk Carrier,31269,56020,2003,189.99,In Service,Niovis Shipping,Niovis Shipping,Niovis Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,12,12.55,32.26,MAN Energy Solutions,Japan,Greece,1573,Bulkers,22.5
Ionic Storm,Bulk Carrier,31263,56062,2005,189.99,In Service,Ionic Holdings Inc,Ionic Holdings Inc,Ionic Holdings Inc,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1663,Bulkers,31
Taurus Two,Bulk Carrier,31261,53630,2006,189.99,In Service,Maritime Enterprises,Maritime Enterprises,Maritime Enterprises,Panama,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,22.5,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.51,32.26,MAN Energy Solutions,China P.R.,Greece,104,Bulkers,30.1
Sea Spirit,Bulk Carrier,31261,53621,2007,189.99,In Service,Overseas Marine Ent,Overseas Marine Ent,Overseas Marine Ent,Liberia,,IFO 180,Diesel 2-Stroke,,,2400,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY106,Bulkers,36
River Globe,Bulk Carrier,31261,53627,2007,189.99,In Service,Globus Maritime,Globus Maritime,Globus Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,3120,9960,IFO 380,,,,,35,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY120,Bulkers,30.1
MDM Bromo,Bulk Carrier,31261,53633,2007,190,In Service,Meratus Advance Mari,Meratus Advance Mari,Meratus Advance Mari,Indonesia,,IFO 180,Diesel 2-Stroke,,,3120,9960,IFO 380,,,,,29.7,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Indonesia,DY108,Bulkers,30.1
Magnum Energy,Bulk Carrier,31261,53628,2009,189.99,In Service,F-Maritime,F-Maritime,F-Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY1268,Bulkers,30.1
Magnum Force,Bulk Carrier,31261,53630,2008,189.99,In Service,F-Maritime,F-Maritime,F-Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,3120,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY1238,Bulkers,30.1
Matumba,Bulk Carrier,31261,53591,2005,189.99,In Service,Meadway Shpg. & Trdg,Meadway Shpg. & Trdg,Meadway Shpg. & Trdg,Liberia,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,101,Bulkers,30.1
Viet Thuan Ocean,Bulk Carrier,31261,53594,2005,189.99,In Service,Anh Viet,Anh Viet,Anh Viet,Vietnam,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Vietnam,102,Bulkers,30.1
Xin Yin Huan,Bulk Carrier,31261,53565,2006,189.99,In Service,Taizhou Yunlai,Taizhou Yunlai,Taizhou Yunlai,China P.R.,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,22.5,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,China P.R.,103,Bulkers,30.1
Ocean Cross,Bulk Carrier,31261,53617,2007,189.99,In Service,Graham Shipping,Graham Shipping,Graham Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1830,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,13.5,12.51,32.26,MAN Energy Solutions,China P.R.,Greece,DY105,Bulkers,35
Asteris,Bulk Carrier,31261,53629,2007,189.99,In Service,Seamax Marine,Seamax Marine,Seamax Marine,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,29.7,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY107,Bulkers,30.1
Magnum Power,Bulk Carrier,31261,53631,2008,189.99,In Service,F-Maritime,F-Maritime,F-Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,3120,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY1248,Bulkers,30.1
Magnum Fortune,Bulk Carrier,31261,53632,2009,189.99,In Service,Meadway Shpg. & Trdg,Meadway Shpg. & Trdg,Meadway Shpg. & Trdg,Liberia,,IFO 180,Diesel 2-Stroke,,,3120,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.7,12.49,32.26,MAN Energy Solutions,China P.R.,Greece,DY1258,Bulkers,30.1
Galini,Bulk Carrier,31260,56015,2005,189.99,In Service,Adelfia Shpg. Ent.,Adelfia Shpg. Ent.,Adelfia Shpg. Ent.,Greece,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Greece,1631,Bulkers,31
Sami,Bulk Carrier,31260,56060,2003,189.99,In Service,Gurita Lintas,Gurita Lintas,Gurita Lintas,Indonesia,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.57,32.26,MAN Energy Solutions,Japan,Indonesia,1565,Bulkers,31
Prabhu Gopal,Bulk Carrier,31260,56025,2003,189.99,In Service,Tolani Group of Shpg,Tolani Group of Shpg,Tolani Group of Shpg,Singapore,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.58,32.26,MAN Energy Solutions,Japan,India,1566,Bulkers,30.8
Golden Marine,Bulk Carrier,31260,56060,2004,189.99,In Service,Nhat Viet Transp.,PetroVietnam,Nhat Viet Transp.,Panama,,IFO 180,Diesel 2-Stroke,,,2400,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Vietnam,1595,Bulkers,31
Great Amity,Bulk Carrier,31260,56050,2004,189.99,In Service,Sinotrans Shipping,China Merchants,Sinotrans Shipping,Hong Kong,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.58,32.26,MAN Energy Solutions,Japan,China P.R.,1586,Bulkers,31
Akij Pearl,Bulk Carrier,31260,56060,2005,189.99,In Service,Alunited Maritime,Alunited Maritime,Alunited Maritime,Bangladesh,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.55,32.26,MAN Energy Solutions,Japan,Bangladesh,1587,Bulkers,30
SSI Nemesis,Bulk Carrier,31260,56023,2005,189.99,In Service,Densay Shpg & T'dg,Densay Group,Densay Shpg & T'dg,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,9480,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1635,Bulkers,31
Eleen Neptune,Bulk Carrier,31259,55657,2009,189.99,In Service,Eleen Marine,Eleen Marine,Eleen Marine,Panama,,IFO 180,Diesel 2-Stroke,,,1600,9960,IFO 380,,,,,,N,6S50MC-C8.2,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Bulgaria,1706,Bulkers,31
Darya Mahesh,Bulk Carrier,31258,56056,2008,189.99,In Service,Chellaram Shpg.,Chellaram Shpg.,Chellaram Shpg.,Hong Kong,,IFO 180,Diesel 2-Stroke,,,,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14,12.55,32.26,MAN Energy Solutions,Japan,Hong Kong,1626,Bulkers,29.5
Anasa,Bulk Carrier,31258,55679,2008,189.99,In Service,Almi Marine Mgmt,Almi Marine Mgmt,Almi Marine Mgmt,Cyprus,,IFO 180,Diesel 2-Stroke,,,2400,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,13.8,12.55,32.26,MAN Energy Solutions,Japan,Greece,1682,Bulkers,31.5
Yasa Ilhan,Bulk Carrier,31255,55518,2007,189.99,In Service,Yasa Shipping,Yasa Shipping,Yasa Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1650,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1691,Bulkers,31
Yasa Pembe,Bulk Carrier,31255,55912,2007,189.99,In Service,Yasa Shipping,Yasa Shipping,Yasa Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1650,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1620,Bulkers,31
Yasa Aysen,Bulk Carrier,31255,55905,2007,189.99,In Service,Yasa Shipping,Yasa Shipping,Yasa Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1650,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1621,Bulkers,31
Yasa Unsal Sunar,Bulk Carrier,31255,55526,2007,189.99,In Service,Yasa Shipping,Yasa Shipping,Yasa Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1650,9960,IFO 380,,,,,,N,6S50MC-C8.1,S50,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,MAN B. & W.,14.5,12.55,32.26,MAN Energy Solutions,Japan,Turkey,1690,Bulkers,31
